City,State,County,Lat,Lon,Population,Density
New York,NY,New York,40.6943,-73.9249,8537673,10934
Los Angeles,CA,Los Angeles,34.114,-118.4068,3976322,3275
Chicago,IL,Cook,41.8373,-87.6861,2704958,4585
Brooklyn,NY,Kings,40.6501,-73.9496,2629150,14606
Queens,NY,Queens,40.7498,-73.7976,2333054,8247
Houston,TX,Harris,29.7871,-95.3936,2303482,1412
Manhattan,NY,New York,40.7834,-73.9662,1643734,27799
Phoenix,AZ,Maricopa,33.5722,-112.0891,1615017,1204
Philadelphia,PA,Philadelphia,40.0076,-75.134,1567872,4511
San Antonio,TX,Bexar,29.4722,-98.5247,1492510,1250
Bronx,NY,Bronx,40.8501,-73.8662,1455720,13202
San Diego,CA,San Diego,32.8312,-117.1225,1406630,1670
Dallas,TX,Dallas,32.7938,-96.7659,1317929,1490
San Jose,CA,Santa Clara,37.302,-121.8488,1025350,2242
Austin,TX,Travis,30.3038,-97.7545,947890,1170
Jacksonville,FL,Duval,30.3322,-81.6749,880619,454
San Francisco,CA,San Francisco,37.7561,-122.4429,870887,7170
Columbus,OH,Franklin,39.9859,-82.9852,860090,1522
Indianapolis,IN,Marion,39.7771,-86.1458,855164,913
Fort Worth,TX,Tarrant,32.7813,-97.3466,854113,968
Charlotte,NC,Mecklenburg,35.208,-80.8308,842051,1065
Seattle,WA,King,47.6217,-122.3238,704352,3243
Denver,CO,Denver,39.7621,-104.8759,693060,1745
El Paso,TX,El Paso,31.8478,-106.431,683080,1027
Washington,DC,District of Columbia,38.9047,-77.0163,681170,4301
Boston,MA,Suffolk,42.3189,-71.0838,673184,5373
Detroit,MI,Wayne,42.3834,-83.1024,672795,1872
Nashville,TN,Davidson,36.1714,-86.7844,660388,535
Memphis,TN,Shelby,35.1047,-89.9773,652717,794
Portland,OR,Multnomah,45.5372,-122.65,639863,1851
Oklahoma City,OK,Oklahoma,35.4677,-97.5138,638367,406
Las Vegas,NV,Clark,36.2288,-115.2603,632912,1829
Louisville,KY,Jefferson,38.1662,-85.6488,616261,902
Baltimore,MD,Baltimore (city),39.3051,-76.6144,614664,2931
Milwaukee,WI,Milwaukee,43.064,-87.9669,595047,2388
Albuquerque,NM,Bernalillo,35.1055,-106.6476,559277,1147
Tucson,AZ,Pima,32.1558,-110.8777,530706,887
Fresno,CA,Fresno,36.7834,-119.7933,522053,1774
Sacramento,CA,Sacramento,38.5666,-121.4683,495234,1952
Mesa,AZ,Maricopa,33.4016,-111.718,484587,1357
Kansas City,MO,Jackson,39.1239,-94.5541,481420,590
Staten Island,NY,Richmond,40.5834,-74.1496,476015,3155
Atlanta,GA,Fulton,33.7627,-84.4231,472522,1370
Long Beach,CA,Los Angeles,33.8059,-118.161,470130,3607
Colorado Springs,CO,El Paso,38.8673,-104.7605,465101,919
Raleigh,NC,Wake,35.8323,-78.6441,458880,1225
Miami,FL,Miami-Dade,25.784,-80.2102,453579,4866
Virginia Beach,VA,Virginia Beach (city),36.7335,-76.0435,452602,699
Omaha,NE,Douglas,41.2634,-96.0453,446970,1295
Oakland,CA,Alameda,37.7903,-122.2165,420005,2901
Minneapolis,MN,Hennepin,44.9635,-93.2679,413651,2957
Tulsa,OK,Tulsa,36.1284,-95.9037,403090,790
Arlington,TX,Tarrant,32.6998,-97.1251,392772,1581
New Orleans,LA,Orleans,30.0687,-89.9288,391495,892
Wichita,KS,Sedgwick,37.6894,-97.344,389902,942
Cleveland,OH,Cuyahoga,41.4766,-81.6805,385809,1917
Tampa,FL,Hillsborough,27.9937,-82.4454,377165,1283
Bakersfield,CA,Kern,35.3528,-119.0354,376380,977
Aurora,CO,Adams,39.7085,-104.7274,361710,909
Honolulu,HI,Honolulu,21.3293,-157.846,351792,2244
Anaheim,CA,Orange,33.839,-117.8572,351043,2712
Santa Ana,CA,Orange,33.7366,-117.8819,334217,4753
Corpus Christi,TX,Nueces,27.7173,-97.3822,325733,720
Riverside,CA,Riverside,33.9382,-117.3949,324722,1544
Lexington,KY,Fayette,38.0423,-84.4587,318449,433
Saint Louis,MO,St. Louis (city),38.6358,-90.2451,311404,1940
Stockton,CA,San Joaquin,37.9766,-121.3111,307072,1922
Pittsburgh,PA,Allegheny,40.4396,-79.9763,303625,2116
Saint Paul,MN,Ramsey,44.9477,-93.104,302398,2246
Cincinnati,OH,Hamilton,39.1412,-84.506,298800,1480
Anchorage,AK,Anchorage,61.1508,-149.1091,298192,67
Henderson,NV,Clark,36.0145,-115.0362,292969,1080
Greensboro,NC,Guilford,36.096,-79.8275,287027,874
Plano,TX,Collin,33.0502,-96.7487,286057,1541
Newark,NJ,Essex,40.7242,-74.1724,281764,4496
Lincoln,NE,Lancaster,40.8102,-96.6808,280364,1183
Toledo,OH,Lucas,41.6639,-83.582,278508,1332
Orlando,FL,Orange,28.4801,-81.3448,277173,1041
Chula Vista,CA,San Diego,32.6281,-117.0144,267172,2078
Irvine,CA,Orange,33.6772,-117.7738,266122,1566
Fort Wayne,IN,Allen,41.0885,-85.1436,264488,923
Jersey City,NJ,Hudson,40.7161,-74.0683,264152,6894
Durham,NC,Durham,35.9801,-78.9045,263016,929
Saint Petersburg,FL,Pinellas,27.7931,-82.6652,260999,1631
Laredo,TX,Webb,27.5536,-99.489,257156,1015
Buffalo,NY,Erie,42.9016,-78.8487,256902,2456
Madison,WI,Dane,43.0809,-89.3921,252551,1268
Lubbock,TX,Lubbock,33.5665,-101.8867,252506,794
Chandler,AZ,Maricopa,33.2828,-111.8517,247477,1474
Scottsdale,AZ,Maricopa,33.6872,-111.865,246645,517
Glendale,AZ,Maricopa,33.5797,-112.2246,245895,1604
Reno,NV,Washoe,39.5487,-119.8486,245255,882
Norfolk,VA,Norfolk (city),36.8945,-76.259,245115,1749
Winston-Salem,NC,Forsyth,36.1029,-80.261,242203,705
North Las Vegas,NV,Clark,36.288,-115.0901,238702,940
Irving,TX,Dallas,32.8584,-96.9702,238289,1372
Chesapeake,VA,Chesapeake (city),36.6778,-76.3024,237940,269
Gilbert,AZ,Maricopa,33.3103,-111.7463,237133,1346
Hialeah,FL,Miami-Dade,25.8696,-80.3045,236387,4249
Garland,TX,Dallas,32.91,-96.6305,234943,1590
Fremont,CA,Alameda,37.5256,-121.987,233136,1162
Baton Rouge,LA,East Baton Rouge,30.4422,-91.1314,227715,1023
Richmond,VA,Richmond (city),37.5294,-77.4755,223170,1440
Boise,ID,Ada,43.5991,-116.2306,223154,1070
San Bernardino,CA,San Bernardino,34.1412,-117.2936,216239,1357
Spokane,WA,Spokane,47.6671,-117.433,215973,1213
Des Moines,IA,Polk,41.5725,-93.6104,215472,935
Modesto,CA,Stanislaus,37.6371,-121.003,212175,1831
Birmingham,AL,Jefferson,33.5276,-86.7986,212157,560
Tacoma,WA,Pierce,47.2431,-122.4531,211277,1640
Fontana,CA,San Bernardino,34.0967,-117.4599,209665,1879
Rochester,NY,Monroe,43.1681,-77.6162,208880,2253
Oxnard,CA,Ventura,34.1961,-119.1821,207906,2984
Moreno Valley,CA,Riverside,33.9244,-117.2045,205499,1547
Fayetteville,NC,Cumberland,35.0847,-78.9777,204759,534
Aurora,IL,Kane,41.7638,-88.2901,201110,1729
Glendale,CA,Los Angeles,34.1818,-118.2468,200831,2547
Yonkers,NY,Westchester,40.9466,-73.8674,200807,4304
Huntington Beach,CA,Orange,33.696,-118.0023,200652,2857
Montgomery,AL,Montgomery,32.347,-86.2663,200022,483
Amarillo,TX,Potter,35.1999,-101.8297,199582,770
Little Rock,AR,Pulaski,34.7255,-92.3584,198541,645
Akron,OH,Summit,41.0802,-81.5219,197633,1230
Columbus,GA,Muscogee,32.51,-84.8771,197485,352
Augusta,GA,Richmond,33.3644,-82.0708,197081,251
Grand Rapids,MI,Kent,42.9615,-85.6557,196445,1707
Shreveport,LA,Caddo,32.4659,-93.7959,194920,702
Salt Lake City,UT,Salt Lake,40.7774,-111.9301,193744,672
Huntsville,AL,Madison,34.699,-86.6412,193079,349
Mobile,AL,Mobile,30.6782,-88.1161,192904,535
Tallahassee,FL,Leon,30.4549,-84.2527,190894,733
Grand Prairie,TX,Dallas,32.6869,-97.0209,190682,1019
Overland Park,KS,Johnson,38.8871,-94.6871,188966,971
Knoxville,TN,Knox,35.969,-83.9498,186239,729
Port Saint Lucie,FL,St. Lucie,27.2795,-80.3882,185132,602
Worcester,MA,Worcester,42.2705,-71.8079,184508,1906
Brownsville,TX,Cameron,25.9981,-97.4566,183823,535
Tempe,AZ,Maricopa,33.3881,-111.9318,182498,1762
